TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Philadelphia Phillies,NL,21,6,3.11,27,27,0,4,11,12,246.0,211,98,3.1481481481481484,20,8,78,263,1.17,.230
Detroit Tigers,AL,18,10,3.75,28,28,0,1,6,12,251.2,231,117,3.75,31,14,82,258,1.24,.243
Houston Astros,AL,14,14,3.59,28,28,2,2,6,9,240.2,201,106,3.4285714285714284,29,7,94,256,1.23,.225
New York Yankees,AL,16,10,2.91,26,26,0,2,5,9,232.0,185,79,2.8846153846153846,19,7,77,253,1.13,.216
Minnesota Twins,AL,20,6,2.65,26,26,0,4,9,13,231.1,187,71,2.6153846153846154,18,11,57,248,1.05,.219
Los Angeles Dodgers,NL,16,11,4.30,27,27,0,0,6,11,245.0,230,124,4.333333333333333,41,13,85,236,1.29,.247
Athletics,AL,10,18,6.06,28,28,0,1,5,13,252.1,275,178,6.071428571428571,43,17,109,234,1.52,.276
Cincinnati Reds,NL,14,14,3.93,28,28,0,0,8,11,249.2,228,115,3.892857142857143,29,13,89,231,1.27,.242
New York Mets,NL,13,14,3.31,27,27,0,1,6,12,239.0,212,102,3.259259259259259,23,10,101,230,1.31,.237
San Diego Padres,NL,11,14,4.14,25,25,1,2,6,11,222.0,200,119,4.08,34,12,86,229,1.29,.238
Atlanta Braves,NL,15,12,3.21,27,27,0,1,6,12,243.2,199,96,3.2222222222222223,27,12,82,228,1.15,.224
Toronto Blue Jays,AL,13,13,4.36,26,26,0,2,8,14,231.1,213,115,4.3076923076923075,40,9,75,228,1.24,.242
Cleveland Guardians,AL,15,12,3.98,27,27,0,4,7,9,239.2,235,114,3.925925925925926,25,9,96,226,1.38,.256
Baltimore Orioles,AL,7,20,5.93,27,27,0,1,5,11,235.1,240,164,5.7407407407407405,52,9,99,221,1.44,.259
Boston Red Sox,AL,13,14,3.98,27,27,0,2,4,10,244.1,247,116,4.0,26,11,87,218,1.37,.264
Arizona Diamondbacks,NL,12,15,5.05,27,27,0,3,10,17,238.2,236,144,4.962962962962963,39,11,103,216,1.42,.257
Milwaukee Brewers,NL,12,15,3.96,27,27,0,1,7,12,238.2,228,113,3.888888888888889,25,10,93,215,1.34,.251
Washington Nationals,NL,13,14,5.50,27,27,0,1,7,11,239.0,255,152,5.407407407407407,28,17,90,209,1.44,.273
Kansas City Royals,AL,16,11,2.65,27,27,0,6,9,9,241.0,211,76,2.6296296296296298,25,9,54,207,1.10,.233
San Francisco Giants,NL,13,13,2.99,26,26,0,3,4,8,231.2,209,90,2.9615384615384617,18,6,61,207,1.17,.241
Texas Rangers,AL,11,17,3.26,28,28,0,2,5,10,242.2,205,94,3.142857142857143,25,4,86,206,1.20,.229
Chicago Cubs,NL,15,11,3.69,26,26,0,3,4,6,231.2,216,102,3.6538461538461537,29,10,69,204,1.23,.248
Miami Marlins,NL,9,17,5.92,26,26,0,0,3,8,226.2,251,158,5.730769230769231,35,9,89,203,1.50,.280
Los Angeles Angels,AL,13,14,5.57,27,27,0,0,5,11,236.0,271,156,5.407407407407407,39,11,118,202,1.65,.289
Seattle Mariners,AL,15,11,3.39,26,26,0,1,9,13,233.1,233,105,3.3846153846153846,28,13,65,197,1.28,.259
St. Louis Cardinals,NL,19,8,3.16,27,27,1,4,8,10,239.0,217,90,3.111111111111111,18,11,70,191,1.20,.241
Pittsburgh Pirates,NL,9,18,4.11,27,27,1,3,6,12,236.2,233,115,4.0,25,10,91,190,1.37,.259
Chicago White Sox,AL,11,16,4.01,27,27,0,2,4,11,233.2,226,119,3.8518518518518516,24,13,96,182,1.38,.252
Colorado Rockies,NL,5,23,6.32,28,28,0,0,4,6,245.0,317,202,6.142857142857143,34,8,93,176,1.67,.312
Tampa Bay Rays,AL,14,12,3.78,26,26,0,2,9,12,231.0,212,99,3.730769230769231,32,8,79,166,1.26,.247
