Teams,yards,passing,rushing,PTS,points
Philadelphia Eagles,278.4,1.0,0.71875,17.8,0.96875
Tennessee Titans,311.2,0.96875,0.21875,27.1,0.09375
New York Jets,313.8,0.90625,0.5,23.8,0.40625
Miami Dolphins,314.3,0.765625,0.75,21.4,0.71875
Houston Texans,315.0,0.84375,0.6875,21.9,0.59375
Green Bay Packers,315.6,0.625,0.8125,19.9,0.84375
Denver Broncos,317.1,0.4375,0.9375,18.3,0.9375
San Francisco 49ers,317.4,0.875,0.46875,25.6,0.15625
Kansas City Chiefs,320.6,0.46875,0.78125,19.2,0.90625
Baltimore Ravens,324.2,0.0625,1.0,21.2,0.75
Los Angeles Chargers,324.4,0.8125,0.59375,17.7,1.0
Pittsburgh Steelers,326.7,0.25,0.84375,20.4,0.78125
Washington Commanders,327.9,0.9375,0.09375,23.0,0.46875
Seattle Seahawks,332.7,0.6875,0.53125,21.6,0.671875
Las Vegas Raiders,333.1,0.5625,0.625,25.5,0.234375
Minnesota Vikings,335.4,0.15625,0.96875,19.5,0.875
Buffalo Bills,341.5,0.28125,0.65625,21.6,0.671875
Tampa Bay Buccaneers,341.8,0.125,0.90625,22.6,0.53125
Cleveland Browns,342.1,0.65625,0.375,25.6,0.15625
Detroit Lions,342.4,0.09375,0.875,20.1,0.8125
Arizona Cardinals,342.5,0.59375,0.40625,22.3,0.5625
New England Patriots,343.4,0.71875,0.3125,24.5,0.34375
Atlanta Falcons,345.2,0.34375,0.5625,24.9,0.3125
New York Giants,346.8,0.765625,0.1875,24.4,0.375
Cincinnati Bengals,348.3,0.375,0.4375,25.5,0.234375
Los Angeles Rams,353.1,0.40625,0.34375,22.7,0.5
Chicago Bears,354.3,0.53125,0.15625,21.8,0.625
Dallas Cowboys,355.2,0.5,0.125,27.5,0.0625
Indianapolis Colts,361.2,0.21875,0.28125,25.1,0.28125
New Orleans Saints,379.9,0.1875,0.0625,23.4,0.4375
Jacksonville Jaguars,389.9,0.03125,0.25,25.6,0.15625
Carolina Panthers,404.5,0.3125,0.03125,31.4,0.03125
