,team,pass,rush,pts_pot,pts,total,opp
0,N.Y.Jets,-0.22,-0.53,-0.3,20.56,-1.05,Houston
1,Houston,-0.16,-0.03,-0.07,22.38,-0.26,N.Y.Jets
2,Atlanta,0.5,0.51,0.6,26.27,1.61,Dallas
3,Dallas,0.38,-0.35,-0.08,22.9,-0.05,Atlanta
4,Baltimore,-0.04,0.19,0.03,22.62,0.18,Denver
5,Denver,0.09,-0.41,0.19,23.88,-0.13,Baltimore
6,Buffalo,-0.47,0.13,0.33,25.59,-0.01,Miami
7,Miami,-0.31,0.19,-0.81,16.05,-0.93,Buffalo
8,Carolina,-0.1,0.12,-0.14,20.62,-0.12,NewOrleans
9,NewOrleans,0.13,0.33,0.5,28.5,0.96,Carolina
10,Cincinnati,-0.06,-0.28,0.51,25.31,0.17,LasVegas
11,LasVegas,0.0,-0.19,-0.09,21.69,-0.28,Cincinnati
12,Cleveland,-0.5,-0.5,-0.81,15.12,-1.81,L.A.Chargers
13,L.A.Chargers,-0.35,-0.06,-0.19,21.05,-0.6,Cleveland
14,Minnesota,0.31,0.25,0.22,24.18,0.78,Indianapolis
15,Indianapolis,0.32,-0.22,-0.31,20.72,-0.21,Minnesota
16,N.Y.Giants,-0.54,0.03,-0.66,17.51,-1.17,Washington
17,Washington,-0.06,0.63,0.28,25.39,0.85,N.Y.Giants
18,Tennessee,-0.32,0.16,-0.22,20.88,-0.38,NewEngland
19,NewEngland,-0.97,-0.35,0.0,21.75,-1.32,Tennessee
20,Arizona,-0.47,0.22,-0.44,19.62,-0.69,Chicago
21,Chicago,0.08,0.25,0.28,24.46,0.61,Arizona
22,GreenBay,0.5,0.0,0.06,23.07,0.56,Detroit
23,Detroit,0.47,0.12,0.34,27.34,0.93,GreenBay
24,Seattle,0.56,-0.16,0.28,24.3,0.68,L.A.Rams
25,L.A.Rams,0.15,0.1,-0.11,22.47,0.14,Seattle
26,Philadelphia,0.35,0.22,0.59,26.21,1.16,Jacksonville
27,Jacksonville,-0.19,-0.25,-0.43,20.18,-0.87,Philadelphia
28,KansasCity,0.47,0.21,0.59,25.67,1.27,TampaBay
29,TampaBay,0.35,-0.22,0.03,23.47,0.16,KansasCity
